food_id,food_name,aliases,category,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,default_portion_g,source,notes
IF001,Steamed White Rice,"chawal,white rice,plain rice,boiled rice",Rice Dishes,130.0,2.7,28.2,0.3,0.4,150.0,IFCT 2017 / ICMR-NIN,Cooked plain white rice
IF002,Chicken Biryani,"biryani,biriyani,chicken biriyani,hyderabadi biryani",Rice Dishes,180.0,9.5,22.0,6.2,1.2,250.0,IFCT 2017 / ICMR-NIN,Fragrant basmati rice layered with spiced marinated chicken
IF003,Vegetable Biryani,"veg biryani,veg pulao,vegetable pulao,sabzi pulao",Rice Dishes,145.0,3.8,24.5,3.8,2.2,200.0,IFCT 2017 / ICMR-NIN,Rice cooked with mixed vegetables and whole spices
IF004,Jeera Rice,"cumin rice,zeera rice",Rice Dishes,165.0,2.9,29.5,4.0,0.8,150.0,IFCT 2017 / ICMR-NIN,Basmati rice tempered with cumin seeds and ghee
IF005,Roti,"chapati,phulka,fulka,wheat roti,tawa roti",Breads,297.0,9.2,55.8,3.7,10.7,35.0,IFCT 2017 / ICMR-NIN,Whole wheat flatbread cooked without oil on a tawa
IF006,Plain Paratha,"tawa paratha,paratha,parauntha",Breads,326.0,7.5,48.0,11.5,6.8,60.0,IFCT 2017 / ICMR-NIN,Layered whole wheat flatbread cooked with ghee or oil
IF007,Aloo Paratha,"potato paratha,alu paratha,aaloo paratha",Breads,240.0,5.4,36.0,8.5,4.2,110.0,IFCT 2017 / ICMR-NIN,Stuffed spiced potato whole wheat flatbread
IF008,Butter Naan,"naan,nan,tandoori naan",Breads,310.0,8.0,49.0,9.5,2.5,90.0,IFCT 2017 / ICMR-NIN,Tandoor baked refined flour bread brushed with butter
IF009,Poori,"puri,fried bread",Breads,380.0,7.0,47.0,18.5,3.8,30.0,IFCT 2017 / ICMR-NIN,Deep-fried puffed unleavened whole wheat bread
IF010,Bhature,"bhatura,chole bhature bread",Breads,360.0,6.8,46.0,16.8,1.8,80.0,IFCT 2017 / ICMR-NIN,Fluffy deep-fried leavened sourdough bread
IF011,Pav,"pav bun,bread bun,ladi pav",Breads,270.0,8.0,54.0,2.2,2.0,40.0,IFCT 2017 / ICMR-NIN,Indian style soft white bread bun
IF012,Yellow Dal Tadka,"dal tadka,dal fry,toor dal,arhar dal",Dals and Lentils,105.0,5.8,13.5,3.2,3.0,150.0,IFCT 2017 / ICMR-NIN,Yellow toor dal cooked and tempered with cumin and garlic
IF013,Dal Makhani,"maa ki dal,black dal,urad dal curry",Dals and Lentils,165.0,6.2,15.0,9.0,4.5,150.0,IFCT 2017 / ICMR-NIN,Slow cooked black lentils and kidney beans with butter and cream
IF014,Rajma Masala,"rajma,kidney beans curry,rajma chawal",Dals and Lentils,125.0,6.8,17.5,3.4,5.2,150.0,IFCT 2017 / ICMR-NIN,Red kidney beans simmered in a spiced onion-tomato gravy
IF015,Chole,"chana masala,chickpea curry,chole masala,kabuli chana",Curries,155.0,7.2,21.0,4.8,6.0,150.0,IFCT 2017 / ICMR-NIN,Chickpeas cooked in a tangy robust spiced onion-tomato gravy
IF016,Paneer Butter Masala,"paneer makhani,butter paneer,paneer gravy",Curries,225.0,8.5,9.5,17.5,1.8,150.0,IFCT 2017 / ICMR-NIN,Cottage cheese cubes in a rich buttery tomato cream gravy
IF017,Palak Paneer,"spinach paneer,saag paneer",Curries,145.0,8.2,5.4,10.5,3.0,150.0,IFCT 2017 / ICMR-NIN,Paneer cubes in a spiced puree of fresh spinach greens
IF018,Butter Chicken,"murgh makhani,chicken makhani",Curries,210.0,13.5,6.5,14.5,1.2,150.0,IFCT 2017 / ICMR-NIN,Tender chicken in a mild spiced tomato butter and cream sauce
IF019,Aloo Gobi,"potato cauliflower,gobi aloo",Curries,110.0,2.8,15.2,4.5,3.5,140.0,IFCT 2017 / ICMR-NIN,Dry curry of potatoes and cauliflower with turmeric and spices
IF020,Bhindi Masala,"okra masala,lady finger,bhindi fry",Curries,98.0,2.4,10.5,5.2,4.1,130.0,IFCT 2017 / ICMR-NIN,Spiced stir-fried okra with onions and tomatoes
IF021,Egg Curry,"anda curry,egg masala,anda masala",Curries,135.0,9.2,4.5,9.0,1.0,180.0,IFCT 2017 / ICMR-NIN,Hard-boiled eggs simmered in spicy onion-tomato gravy
IF022,Chicken Curry,"chicken gravy,murg curry",Curries,195.0,15.0,5.5,12.8,1.5,180.0,IFCT 2017 / ICMR-NIN,Bone-in chicken pieces cooked in onion-tomato spiced gravy
